m,n,rnd,ovf,accuracy,total_samples,correct,elapsed_time,throughput
4,6,nearest,saturate,97.8,10000,9780,173.22775602340698,57.72746948617619
4,4,nearest,saturate,97.79,10000,9779,171.62935400009155,58.26509141317788
5,2,nearest,saturate,97.75,10000,9775,170.99307012557983,58.48190217683005
3,3,nearest,saturate,97.75,10000,9775,172.1389558315277,58.09260287245493
5,3,nearest,saturate,97.74,10000,9774,171.76023769378662,58.220692601904496
4,8,nearest,saturate,97.74,10000,9774,175.47612500190735,56.98780959456054
3,7,nearest,saturate,97.73,10000,9773,173.8920121192932,57.50695433404848
5,6,nearest,saturate,97.73,10000,9773,172.6058337688446,57.93546939666069
2,2,nearest,saturate,97.71,10000,9771,173.8384654521942,57.52466793806352
3,5,nearest,saturate,97.7,10000,9770,179.01730632781982,55.860521002856636
2,6,nearest,saturate,97.69,10000,9769,169.87089109420776,58.86823772799399
3,2,nearest,saturate,97.69,10000,9769,169.11528897285461,59.13125927724454
4,3,nearest,saturate,97.69,10000,9769,169.63543033599854,58.94994919512335
3,8,nearest,saturate,97.68,10000,9768,173.5588014125824,57.61736033327455
2,8,nearest,saturate,97.64,10000,9764,177.57618355751038,56.31385808424793
5,5,nearest,saturate,97.63,10000,9763,171.4643895626068,58.32114776432164
3,6,nearest,saturate,97.63,10000,9763,173.99331641197205,57.473472005801284
5,7,nearest,saturate,97.62,10000,9762,169.29795742034912,59.06745806253909
2,4,nearest,saturate,97.62,10000,9762,173.5797996520996,57.610390264550816
3,4,nearest,saturate,97.62,10000,9762,174.63540863990784,57.262155927493794
5,4,nearest,saturate,97.61,10000,9761,171.09328031539917,58.44764903429088
2,3,nearest,saturate,97.61,10000,9761,176.66918563842773,56.6029665210891
4,2,nearest,saturate,97.61,10000,9761,167.68099665641785,59.63705010944219
4,5,nearest,saturate,97.61,10000,9761,172.2831449508667,58.043983367333425
2,5,nearest,saturate,97.6,10000,9760,177.37523317337036,56.377656683477255
5,8,nearest,saturate,97.59,10000,9759,169.71004128456116,58.92403256936641
4,7,nearest,saturate,97.57,10000,9757,171.4943277835846,58.31096648642159
2,7,nearest,saturate,97.55,10000,9755,176.15667009353638,56.76764890418376
1,5,nearest,saturate,92.3,10000,9230,173.92968463897705,57.49449854265437
1,6,nearest,saturate,92.27,10000,9227,177.68839240074158,56.27829631913686
1,7,nearest,saturate,92.21,10000,9221,170.50370407104492,58.649752241354435
1,8,nearest,saturate,92.21,10000,9221,172.5742552280426,57.946070732194826
1,4,nearest,saturate,92.13,10000,9213,173.3473675251007,57.687636926773635
1,3,nearest,saturate,92.13,10000,9213,170.44351625442505,58.67046291788984
1,2,nearest,saturate,91.09,10000,9109,168.55292630195618,59.328545753547935
0,4,nearest,saturate,49.4,10000,4940,170.79898715019226,58.548356561426736
0,7,nearest,saturate,49.39,10000,4939,165.8856520652771,60.282489024818936
0,8,nearest,saturate,49.27,10000,4927,164.46933674812317,60.80160714282272
0,5,nearest,saturate,49.26,10000,4926,166.16855311393738,60.17985841847744
0,3,nearest,saturate,49.2,10000,4920,161.79391598701477,61.80702122818128
0,6,nearest,saturate,48.9,10000,4890,163.0973834991455,61.31306208264458
0,2,nearest,saturate,39.36,10000,3936,149.65673923492432,66.81957692732071
4,1,nearest,saturate,19.39,10000,1939,124.72789907455444,80.1745244985056
5,1,nearest,saturate,19.19,10000,1919,125.70469880104065,79.5515211076359
3,1,nearest,saturate,19.06,10000,1906,129.84447598457336,77.01521319388347
2,1,nearest,saturate,18.89,10000,1889,125.6622667312622,79.57838307489486
1,1,nearest,saturate,18.56,10000,1856,128.6169695854187,77.75023803028321
1,0,nearest,saturate,9.8,10000,980,107.23624610900879,93.25205201452788
0,1,nearest,saturate,9.8,10000,980,107.17736196517944,93.30328547598393
0,0,nearest,saturate,9.8,10000,980,107.63052892684937,92.91044185796446
2,0,nearest,saturate,9.8,10000,980,112.0192883014679,89.27034041751683
3,0,nearest,saturate,9.8,10000,980,110.72125482559204,90.31689548453895
4,0,nearest,saturate,9.8,10000,980,109.9678602218628,90.935660472294
5,0,nearest,saturate,9.8,10000,980,105.95798468589783,94.37703094905052
